PID,PPID,State,ShortName,Name,IntegrityLevel,User,CreateTime,ExitTime,Wow64,EPROCESS,PEB,PEB32,DTB,UserDTB,UserPath,KernelPath,CommandLine
4,0,0,System,System,System,SYSTEM,"2024-12-20 15:40:59",,0,0xfffffa8018da1ae0,0x0,0x0,0x187000,0x0,"",System,""
224,4,0,smss.exe,smss.exe,System,SYSTEM,"2024-12-20 15:40:59",,0,0xfffffa8019561320,0x7fffffdf000,0x0,0x7a74c000,0x0,\SystemRoot\System32\smss.exe,\Device\HarddiskVolume2\Windows\System32\smss.exe,\SystemRoot\System32\smss.exe
316,300,0,csrss.exe,csrss.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa8019a01b30,0x7fffffd3000,0x0,0x74838000,0x0,C:\Windows\system32\csrss.exe,\Device\HarddiskVolume2\Windows\System32\csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
324,472,0,svchost.exe,svchost.exe,System,"LOCAL SERVICE","2024-12-20 15:41:01",,0,0xfffffa8019b27310,0x7fffffd5000,0x0,0x6a20c000,0x0,C:\Windows\system32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork"
368,300,0,wininit.exe,wininit.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801a3dd620,0x7fffffdc000,0x0,0x7413e000,0x0,C:\Windows\system32\wininit.exe,\Device\HarddiskVolume2\Windows\System32\wininit.exe,wininit.exe
376,360,0,csrss.exe,csrss.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801981fb30,0x7fffffdf000,0x0,0x73fbf000,0x0,C:\Windows\system32\csrss.exe,\Device\HarddiskVolume2\Windows\System32\csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
412,360,0,winlogon.exe,winlogon.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801a4075f0,0x7fffffdb000,0x0,0x727c5000,0x0,C:\Windows\system32\winlogon.exe,\Device\HarddiskVolume2\Windows\System32\winlogon.exe,winlogon.exe
460,832,0,csrss.exe,csrss.exe,System,SYSTEM,"2024-12-20 16:15:34",,0,0xfffffa801af9fb30,0x7fffffdf000,0x0,0x18066000,0x0,C:\Windows\system32\csrss.exe,\Device\HarddiskVolume2\Windows\System32\csrss.exe,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
472,368,0,services.exe,services.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801a3fa1c0,0x7fffffdb000,0x0,0x701d3000,0x0,C:\Windows\system32\services.exe,\Device\HarddiskVolume2\Windows\System32\services.exe,C:\Windows\system32\services.exe
480,368,0,lsass.exe,lsass.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801a447b30,0x7fffffdf000,0x0,0x708f5000,0x0,C:\Windows\system32\lsass.exe,\Device\HarddiskVolume2\Windows\System32\lsass.exe,C:\Windows\system32\lsass.exe
488,368,0,lsm.exe,lsm.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801a449060,0x7fffffdc000,0x0,0x708fd000,0x0,C:\Windows\system32\lsm.exe,\Device\HarddiskVolume2\Windows\System32\lsm.exe,C:\Windows\system32\lsm.exe
592,472,0,svchost.exe,svchost.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801a4a9060,0x7fffffd4000,0x0,0x6fb9c000,0x0,C:\Windows\system32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\system32\svchost.exe -k DcomLaunch"
656,472,0,svchost.exe,svchost.exe,System,"NETWORK SERVICE","2024-12-20 15:41:00",,0,0xfffffa801a4d94a0,0x7fffffd3000,0x0,0x6feb5000,0x0,C:\Windows\system32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\system32\svchost.exe -k RPCSS"
728,472,0,svchost.exe,svchost.exe,System,"LOCAL SERVICE","2024-12-20 15:41:00",,0,0xfffffa801a505b30,0x7fffffdf000,0x0,0x6f1dd000,0x0,C:\Windows\System32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
808,472,0,svchost.exe,svchost.exe,System,SYSTEM,"2024-12-20 15:41:00",,0,0xfffffa801a53bb30,0x7fffffd8000,0x0,0x6e7e8000,0x0,C:\Windows\system32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\system32\svchost.exe -k netsvcs"
828,472,0,spoolsv.exe,spoolsv.exe,System,SYSTEM,"2024-12-20 15:41:01",,0,0xfffffa801a651b30,0x7fffffd5000,0x0,0x69aa3000,0x0,C:\Windows\System32\spoolsv.exe,\Device\HarddiskVolume2\Windows\System32\spoolsv.exe,C:\Windows\System32\spoolsv.exe
884,472,0,svchost.exe,svchost.exe,System,"LOCAL SERVICE","2024-12-20 15:41:01",,0,0xfffffa801a57eb30,0x7fffffd9000,0x0,0x6bbed000,0x0,C:\Windows\system32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\system32\svchost.exe -k LocalService"
932,472,0,svchost.exe,svchost.exe,System,SYSTEM,"2024-12-20 15:41:01",,0,0xfffffa801a58db30,0x7fffffd4000,0x0,0x6abf8000,0x0,C:\Windows\System32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted"
972,472,0,svchost.exe,svchost.exe,System,"NETWORK SERVICE","2024-12-20 15:41:01",,0,0xfffffa801a5a7060,0x7fffffd6000,0x0,0x6a501000,0x0,C:\Windows\system32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\system32\svchost.exe -k NetworkService"
1028,472,0,svchost.exe,svchost.exe,System,SYSTEM,"2024-12-20 15:41:01",,0,0xfffffa801a65eb30,0x7fffffd5000,0x0,0x69a03000,0x0,C:\Windows\system32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\system32\svchost.exe -k apphost"
1048,592,0,WmiPrvSE.exe,WmiPrvSE.exe,System,"NETWORK SERVICE","2024-12-20 15:41:03",,0,0xfffffa801a57aab0,0x7fffffd8000,0x0,0x608f2000,0x0,C:\Windows\system32\wbem\wmiprvse.exe,\Device\HarddiskVolume2\Windows\System32\wbem\WmiPrvSE.exe,C:\Windows\system32\wbem\wmiprvse.exe
1052,472,0,SMSvcHost.exe,SMSvcHost.exe,System,"LOCAL SERVICE","2024-12-20 15:41:01",,0,0xfffffa801a6625a0,0x7fffffd6000,0x0,0x69b09000,0x0,"C:\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation\SMSvcHost.exe","\Device\HarddiskVolume2\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation\SMSvcHost.exe","""C:\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation\SMSvcHost.exe"""
1148,2068,0,firefox.exe,firefox.exe,Low,DOMAIN_USER_RID_,"2024-12-20 16:13:36",,0,0xfffffa801aa42b30,0x7fffffdf000,0x0,0x32c10000,0x0,"C:\Program Files\Mozilla Firefox\firefox.exe","\Device\HarddiskVolume2\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc --channel=""2068.3.391664786\1490258664"" -childID 2 -isForBrowser -prefsHandle 2512 -prefMapHandle 2508 -prefsLen 32273 -prefMapSize 243365 -jsInitHandle 712 -jsInitLen 240916 -parentBuildID 20241118130225 -appDir ""C:\Program Files\Mozilla Firefox\browser"" - {8571b9d1-7191-4e35-8cf4-0629bfef5d0a} 2068 ""\\.\pipe\gecko-crash-server-pipe.2068"" 2524 tab"
1184,472,0,taskhost.exe,taskhost.exe,High,DOMAIN_USER_RID_,"2024-12-20 15:41:01",,0,0xfffffa801a6d8b30,0x7fffffdc000,0x0,0x68889000,0x0,C:\Windows\system32\taskhost.exe,\Device\HarddiskVolume2\Windows\System32\taskhost.exe,"""taskhost.exe"""
1256,932,0,dwm.exe,dwm.exe,High,DOMAIN_USER_RID_,"2024-12-20 15:41:01",,0,0xfffffa801a6f3b30,0x7fffffdd000,0x0,0x683a8000,0x0,C:\Windows\system32\Dwm.exe,\Device\HarddiskVolume2\Windows\System32\dwm.exe,"""C:\Windows\system32\Dwm.exe"""
1288,1244,0,explorer.exe,explorer.exe,High,DOMAIN_USER_RID_,"2024-12-20 15:41:01",,0,0xfffffa801a706b30,0x7fffffd8000,0x0,0x6838c000,0x0,C:\Windows\Explorer.EXE,\Device\HarddiskVolume2\Windows\explorer.exe,C:\Windows\Explorer.EXE
1432,1288,0,vmtoolsd.exe,vmtoolsd.exe,High,DOMAIN_USER_RID_,"2024-12-20 15:41:02",,0,0xfffffa801a7701f0,0x7fffffd8000,0x0,0x66bd0000,0x0,"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","\Device\HarddiskVolume2\Program Files\VMware\VMware Tools\vmtoolsd.exe","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"" -n vmusr"
1492,472,0,svchost.exe,svchost.exe,System,"LOCAL SERVICE","2024-12-20 15:41:02",,0,0xfffffa801a77b060,0x7fffffd3000,0x0,0x65f3b000,0x0,C:\Windows\system32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\system32\svchost.exe -k regsvc"
1520,472,0,VGAuthService.,VGAuthService.exe,System,SYSTEM,"2024-12-20 15:41:02",,0,0xfffffa801a78d680,0x7fffffde000,0x0,0x66641000,0x0,"C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","\Device\HarddiskVolume2\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe","""C:\Program Files\VMware\VMware Tools\VMware VGAuth\VGAuthService.exe"""
1552,472,0,dllhost.exe,dllhost.exe,System,SYSTEM,"2024-12-20 15:41:03",,0,0xfffffa801a8c2b30,0x7fffffd9000,0x0,0x60bb3000,0x0,C:\Windows\system32\dllhost.exe,\Device\HarddiskVolume2\Windows\System32\dllhost.exe,"C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
1560,472,0,vm3dservice.ex,vm3dservice.exe,System,SYSTEM,"2024-12-20 15:41:02",,0,0xfffffa801a7a5b30,0x7fffffdf000,0x0,0x65848000,0x0,C:\Windows\system32\vm3dservice.exe,\Device\HarddiskVolume2\Windows\System32\vm3dservice.exe,C:\Windows\system32\vm3dservice.exe
1580,472,0,vmtoolsd.exe,vmtoolsd.exe,System,SYSTEM,"2024-12-20 15:41:02",,0,0xfffffa801a7ac960,0x7fffffdf000,0x0,0x6624d000,0x0,"C:\Program Files\VMware\VMware Tools\vmtoolsd.exe","\Device\HarddiskVolume2\Program Files\VMware\VMware Tools\vmtoolsd.exe","""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"""
1596,1560,0,vm3dservice.ex,vm3dservice.exe,System,SYSTEM,"2024-12-20 15:41:02",,0,0xfffffa801a7b7920,0x7fffffdd000,0x0,0x65a79000,0x0,C:\Windows\system32\vm3dservice.exe,\Device\HarddiskVolume2\Windows\System32\vm3dservice.exe,"vm3dservice.exe -n"
1624,472,0,svchost.exe,svchost.exe,System,SYSTEM,"2024-12-20 15:41:02",,0,0xfffffa801a7c02d0,0x7fffffdb000,0x0,0x65b72000,0x0,C:\Windows\system32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\system32\svchost.exe -k iissvcs"
1908,472,0,svchost.exe,svchost.exe,System,"NETWORK SERVICE","2024-12-20 15:41:03",,0,0xfffffa801a89b3b0,0x7fffffde000,0x0,0x611a4000,0x0,C:\Windows\System32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\System32\svchost.exe -k termsvcs"
2000,472,0,WmiApSrv.exe,WmiApSrv.exe,System,SYSTEM,"2024-12-20 16:16:07",,0,0xfffffa801b053b30,0x7fffffd6000,0x0,0x32f59000,0x0,C:\Windows\system32\wbem\WmiApSrv.exe,\Device\HarddiskVolume2\Windows\System32\wbem\WmiApSrv.exe,C:\Windows\system32\wbem\WmiApSrv.exe
2068,868,0,firefox.exe,firefox.exe,Medium,DOMAIN_USER_RID_,"2024-12-20 16:13:34",,0,0xfffffa8019c7eb30,0x7fffffd3000,0x0,0x4780e000,0x0,"C:\Program Files\Mozilla Firefox\firefox.exe","\Device\HarddiskVolume2\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"""
2076,472,0,msdtc.exe,msdtc.exe,System,"NETWORK SERVICE","2024-12-20 15:41:04",,0,0xfffffa801a933060,0x7fffffdf000,0x0,0x5f9be000,0x0,C:\Windows\System32\msdtc.exe,\Device\HarddiskVolume2\Windows\System32\msdtc.exe,C:\Windows\System32\msdtc.exe
2184,4016,0,explorer.exe,explorer.exe,Medium,ASP.NET,"2024-12-20 16:15:34",,0,0xfffffa801b062b30,0x7fffffd7000,0x0,0x16824000,0x0,C:\Windows\Explorer.EXE,\Device\HarddiskVolume2\Windows\explorer.exe,C:\Windows\Explorer.EXE
2272,2184,0,powershell.exe,powershell.exe,High,ASP.NET,"2024-12-20 16:15:50",,0,0xfffffa801b02faa0,0x7fffffd7000,0x0,0x5561f000,0x0,C:\WINDOWS\system32\WindowsPowerShell\v1.0\powershell.exe,\Device\HarddiskVolume2\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"""C:\WINDOWS\system32\WindowsPowerShell\v1.0\powershell.exe"" "
2444,472,0,svchost.exe,svchost.exe,System,"LOCAL SERVICE","2024-12-20 16:13:35",,0,0xfffffa8019c84880,0x7fffffd9000,0x0,0x3e119000,0x0,C:\Windows\system32\svchost.exe,\Device\HarddiskVolume2\Windows\System32\svchost.exe,"C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation"
2472,2068,0,firefox.exe,firefox.exe,Untrusted,DOMAIN_USER_RID_,"2024-12-20 16:13:36",,0,0xfffffa8019ca3b30,0x7fffffdf000,0x0,0x3a658000,0x0,"C:\Program Files\Mozilla Firefox\firefox.exe","\Device\HarddiskVolume2\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc --channel=""2068.1.654979557\46396301"" -parentBuildID 20241118130225 -prefsHandle 1412 -prefMapHandle 1408 -prefsLen 26804 -prefMapSize 243365 -appDir ""C:\Program Files\Mozilla Firefox\browser"" - {3a1aad03-fd99-4af4-9034-ae3fc68b2874} 2068 ""\\.\pipe\gecko-crash-server-pipe.2068"" 1424 socket"
2488,2068,0,firefox.exe,firefox.exe,Low,DOMAIN_USER_RID_,"2024-12-20 16:13:36",,0,0xfffffa8019c95b30,0x7fffffdb000,0x0,0x3bcda000,0x0,"C:\Program Files\Mozilla Firefox\firefox.exe","\Device\HarddiskVolume2\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc --channel=""2068.0.464663666\1921212578"" -parentBuildID 20241118130225 -prefsHandle 1096 -prefMapHandle 1088 -prefsLen 26671 -prefMapSize 243365 -appDir ""C:\Program Files\Mozilla Firefox\browser"" - {9f21fa02-898a-4f19-a820-f39c53063e63} 2068 ""\\.\pipe\gecko-crash-server-pipe.2068"" 1168 gpu"
2564,472,0,TrustedInstall,TrustedInstaller.exe,System,SYSTEM,"2024-12-20 16:12:36",,0,0xfffffa801a9c4650,0x7fffffd7000,0x0,0x58bde000,0x0,C:\Windows\servicing\TrustedInstaller.exe,\Device\HarddiskVolume2\Windows\servicing\TrustedInstaller.exe,C:\Windows\servicing\TrustedInstaller.exe
2612,2068,0,firefox.exe,firefox.exe,Low,DOMAIN_USER_RID_,"2024-12-20 16:13:36",,0,0xfffffa8019cbeb30,0x7fffffd8000,0x0,0x379ef000,0x0,"C:\Program Files\Mozilla Firefox\firefox.exe","\Device\HarddiskVolume2\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc --channel=""2068.2.1942336005\1464533663"" -childID 1 -isForBrowser -prefsHandle 1788 -prefMapHandle 1596 -prefsLen 26842 -prefMapSize 243365 -jsInitHandle 712 -jsInitLen 240916 -parentBuildID 20241118130225 -appDir ""C:\Program Files\Mozilla Firefox\browser"" - {6d3ad665-7f85-408b-8170-da98e835f921} 2068 ""\\.\pipe\gecko-crash-server-pipe.2068"" 792 tab"
2716,592,0,WmiPrvSE.exe,WmiPrvSE.exe,System,SYSTEM,"2024-12-20 16:12:50",,0,0xfffffa8019237620,0x7fffffd7000,0x0,0x4f522000,0x0,C:\Windows\system32\wbem\wmiprvse.exe,\Device\HarddiskVolume2\Windows\System32\wbem\WmiPrvSE.exe,C:\Windows\system32\wbem\wmiprvse.exe
2780,376,0,conhost.exe,conhost.exe,High,DOMAIN_USER_RID_,"2024-12-20 16:20:57",,0,0xfffffa801b19b3d0,0x7fffffd5000,0x0,0x2d4f2000,0x0,C:\Windows\system32\conhost.exe,\Device\HarddiskVolume2\Windows\System32\conhost.exe,\??\C:\Windows\system32\conhost.exe
2796,1288,0,DumpIt.exe,DumpIt.exe,High,DOMAIN_USER_RID_,"2024-12-20 16:20:57",,1,0xfffffa8019c28060,0x7efdf000,0x7efde000,0x7a63000,0x0,C:\Users\Administrator\Desktop\DumpIt.exe,\Device\HarddiskVolume2\Users\Administrator\Desktop\DumpIt.exe,"""C:\Users\Administrator\Desktop\DumpIt.exe"" "
2836,1288,0,notepad.exe,notepad.exe,High,DOMAIN_USER_RID_,"2024-12-20 16:13:36",,0,0xfffffa801aa2fb30,0x7fffffdd000,0x0,0x37150000,0x0,C:\Windows\system32\NOTEPAD.EXE,\Device\HarddiskVolume2\Windows\System32\notepad.exe,"""C:\Windows\system32\NOTEPAD.EXE"" C:\Users\Administrator\Desktop\pass.txt"
3016,472,0,OSPPSVC.EXE,OSPPSVC.EXE,System,"NETWORK SERVICE","2024-12-20 16:13:30",,0,0xfffffa80191beb30,0x7fffffdd000,0x0,0x4b3f7000,0x0,"C:\Program Files\Common Files\Microsoft Shared\OfficeSoftwareProtectionPlatform\OSPPSVC.exe","\Device\HarddiskVolume2\Program Files\Common Files\Microsoft Shared\OfficeSoftwareProtectionPlatform\OSPPSVC.EXE","""C:\Program Files\Common Files\Microsoft Shared\OfficeSoftwareProtectionPlatform\OSPPSVC.exe"""
3116,932,0,dwm.exe,dwm.exe,Medium,ASP.NET,"2024-12-20 16:15:34",,0,0xfffffa801b0563f0,0x7fffffd3000,0x0,0x144f4000,0x0,C:\Windows\system32\Dwm.exe,\Device\HarddiskVolume2\Windows\System32\dwm.exe,"""C:\Windows\system32\Dwm.exe"""
3136,472,0,taskhost.exe,taskhost.exe,Medium,ASP.NET,"2024-12-20 16:15:34",,0,0xfffffa801b02eb30,0x7fffffdc000,0x0,0xe1a4000,0x0,C:\Windows\system32\taskhost.exe,\Device\HarddiskVolume2\Windows\System32\taskhost.exe,"""taskhost.exe"""
3152,832,0,winlogon.exe,winlogon.exe,System,SYSTEM,"2024-12-20 16:15:34",,0,0xfffffa801aed2b30,0x7fffffdf000,0x0,0x1156b000,0x0,C:\Windows\system32\winlogon.exe,\Device\HarddiskVolume2\Windows\System32\winlogon.exe,winlogon.exe
3156,2068,0,firefox.exe,firefox.exe,Low,DOMAIN_USER_RID_,"2024-12-20 16:13:38",,0,0xfffffa801abf7b30,0x7fffffdc000,0x0,0x28c96000,0x0,"C:\Program Files\Mozilla Firefox\firefox.exe","\Device\HarddiskVolume2\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc --channel=""2068.4.1769471570\601320678"" -childID 3 -isForBrowser -prefsHandle 3724 -prefMapHandle 3716 -prefsLen 28948 -prefMapSize 243365 -jsInitHandle 712 -jsInitLen 240916 -parentBuildID 20241118130225 -appDir ""C:\Program Files\Mozilla Firefox\browser"" - {f34288c3-0780-4784-9465-81119eca811d} 2068 ""\\.\pipe\gecko-crash-server-pipe.2068"" 3748 tab"
3164,2068,0,firefox.exe,firefox.exe,Low,DOMAIN_USER_RID_,"2024-12-20 16:13:38",,0,0xfffffa801ac8ab30,0x7fffffd8000,0x0,0x2a6e2000,0x0,"C:\Program Files\Mozilla Firefox\firefox.exe","\Device\HarddiskVolume2\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc --channel=""2068.5.1857972581\1128442528"" -childID 4 -isForBrowser -prefsHandle 3736 -prefMapHandle 3732 -prefsLen 28948 -prefMapSize 243365 -jsInitHandle 712 -jsInitLen 240916 -parentBuildID 20241118130225 -appDir ""C:\Program Files\Mozilla Firefox\browser"" - {0e56ec2f-ae94-430f-8f4f-f215d70c1e98} 2068 ""\\.\pipe\gecko-crash-server-pipe.2068"" 3768 tab"
3172,2068,0,firefox.exe,firefox.exe,Low,DOMAIN_USER_RID_,"2024-12-20 16:13:38",,0,0xfffffa801ac8cb30,0x7fffffdd000,0x0,0x289aa000,0x0,"C:\Program Files\Mozilla Firefox\firefox.exe","\Device\HarddiskVolume2\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc --channel=""2068.6.145767133\308175735"" -childID 5 -isForBrowser -prefsHandle 3940 -prefMapHandle 3944 -prefsLen 28948 -prefMapSize 243365 -jsInitHandle 712 -jsInitLen 240916 -parentBuildID 20241118130225 -appDir ""C:\Program Files\Mozilla Firefox\browser"" - {4c61a22e-17ec-4dee-8cab-f078015a535c} 2068 ""\\.\pipe\gecko-crash-server-pipe.2068"" 4020 tab"
3392,460,0,conhost.exe,conhost.exe,High,ASP.NET,"2024-12-20 16:15:50",,0,0xfffffa801b1529e0,0x7fffffd9000,0x0,0x2d324000,0x0,C:\Windows\system32\conhost.exe,\Device\HarddiskVolume2\Windows\System32\conhost.exe,\??\C:\Windows\system32\conhost.exe
3488,2068,0,firefox.exe,firefox.exe,Low,DOMAIN_USER_RID_,"2024-12-20 16:13:46",,0,0xfffffa801ad1fb30,0x7fffffdc000,0x0,0x74bf000,0x0,"C:\Program Files\Mozilla Firefox\firefox.exe","\Device\HarddiskVolume2\Program Files\Mozilla Firefox\firefox.exe","""C:\Program Files\Mozilla Firefox\firefox.exe"" -contentproc --channel=""2068.7.352344574\2091768422"" -childID 6 -isForBrowser -prefsHandle 8064 -prefMapHandle 8060 -prefsLen 29120 -prefMapSize 243365 -jsInitHandle 712 -jsInitLen 240916 -parentBuildID 20241118130225 -appDir ""C:\Program Files\Mozilla Firefox\browser"" - {3e80f477-9ebd-43fc-a2bf-087654db59c5} 2068 ""\\.\pipe\gecko-crash-server-pipe.2068"" 8076 tab"
3896,1908,0,rdpclip.exe,rdpclip.exe,Medium,ASP.NET,"2024-12-20 16:15:34",,0,0xfffffa801b046b30,0x7fffffdb000,0x0,0xfdb9000,0x0,C:\Windows\System32\rdpclip.exe,\Device\HarddiskVolume2\Windows\System32\rdpclip.exe,rdpclip
3912,828,0,cmd.exe,cmd.exe,System,SYSTEM,"2024-12-20 16:14:36",,0,0xfffffa801ae43340,0x7fffffd5000,0x0,0xe7ad000,0x0,C:\Windows\system32\cmd.exe,\Device\HarddiskVolume2\Windows\System32\cmd.exe,C:\Windows\system32\cmd.exe
3928,316,0,conhost.exe,conhost.exe,System,SYSTEM,"2024-12-20 16:14:36",,0,0xfffffa801aebbb30,0x7fffffd8000,0x0,0xf854000,0x0,C:\Windows\system32\conhost.exe,\Device\HarddiskVolume2\Windows\System32\conhost.exe,\??\C:\Windows\system32\conhost.exe
4016,2184,0,notepad.exe,notepad.exe,Medium,ASP.NET,"2024-12-20 16:20:35",,0,0xfffffa801b02e060,0x7fffffd9000,0x0,0x1523d000,0x0,C:\Windows\system32\NOTEPAD.EXE,\Device\HarddiskVolume2\Windows\System32\notepad.exe,"""C:\Windows\system32\NOTEPAD.EXE"" C:\Users\Administrator\Desktop\pass.txt"
